数据集名称,ltv_create_body,ltv_update_body,assert_ltv_name
数据集-1,"{""name"": ""新建LTV分析0"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$visit"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:8,1"", ""targetUser"": {""key"": ""uv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析0"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析0
数据集-2,"{""name"": ""新建LTV分析1"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$visit"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}, ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:5,1"", ""targetUser"": {""key"": ""nuv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析1"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析1
数据集-3,"{""name"": ""新建LTV分析2"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$page"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:31,1"", ""targetUser"": {""key"": ""ruv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""Web""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析2"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析2
数据集-4,"{""name"": ""新建LTV分析3"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""not in"", ""values"": [""iOS""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$page"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:61,1"", ""targetUser"": {""key"": ""ruv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析3"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析3
数据集-5,"{""name"": ""新建LTV分析4"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""like"", ""values"": [""iOS""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$visit"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}, ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""nuv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析4"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析4
数据集-6,"{""name"": ""新建LTV分析5"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""not like"", ""values"": [""iOS""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$visit"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:181,1"", ""targetUser"": {""key"": ""uv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""Web""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析5"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析5
数据集-7,"{""name"": ""新建LTV分析6"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""!="", ""values"": ["" ""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$visit"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:181,1"", ""targetUser"": {""key"": ""nuv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析6"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析6
数据集-8,"{""name"": ""新建LTV分析7"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""="", ""values"": ["" ""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$visit"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}, ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""ruv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析7"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析7
数据集-9,"{""name"": ""新建LTV分析8"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""usr_$first_utm_campaign"", ""name"": ""首次广告名称"", ""valueType"": ""string"", ""op"": ""="", ""values"": [""实用""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$page"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:61,1"", ""targetUser"": {""key"": ""uv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""in"", ""values"": [""iOS""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析8"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析8
数据集-10,"{""name"": ""新建LTV分析9"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""usr_$first_utm_campaign"", ""name"": ""首次广告名称"", ""valueType"": ""string"", ""op"": ""!="", ""values"": [""实用""]}]}}, ""revenueEvents"": [{""metric"": {""alias"": ""访问退出的分析组全局虚拟属性-float"", ""key"": ""$page"", ""type"": ""custom"", ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""not in"", ""values"": [""iOS""]}]}, ""attributeKey"": ""$duration""}}], ""timeRange"": ""day:31,1"", ""targetUser"": {""key"": ""uv""}, ""filter"": {""op"": ""and"", ""exprs"": [{""key"": ""b"", ""name"": ""应用平台"", ""valueType"": ""string"", ""op"": ""not in"", ""values"": [""iOS""]}]}, ""chartType"": ""LTV""}","{""name"": ""更新LTV分析9"", ""initialEvent"": {""type"": ""custom"", ""key"": ""$anyevent""}, ""revenueEvents"": [{""metric"": {""alias"": ""访问的页面浏览数目"", ""id"": ""rRGoYQml"", ""key"": ""$visit"", ""type"": ""custom"", ""attributeKey"": ""$page_count""}}], ""timeRange"": ""day:91,1"", ""targetUser"": {""key"": ""uv""}}",新建LTV分析9
