"价格","名称","我的售品？","顶部?","可购买"
1261,"蚌背鱼","","否",913
2959,"冰河鲑鱼","","否",634
608,"水母","","否",756
68724,"巨型深水蚌","","否",548
4007,"变异鱼","","否",425
2731,"冰冷的肉","","否",694
4994,"犀牛肉","","否",599
8000,"猛犸肉","","否",971
12998,"钴矿石","","否",803
9022,"萨隆邪铁矿石","","否",933
250036,"永恒火焰","","否",204
22988,"永恒暗影","","否",353
20182,"永恒之水","","否",212
53897,"永恒之土","","否",317
95499,"永恒空气","","否",117
977889,"泰坦精钢锭","","否",87
28491,"茶晶石","","否",436
19755,"玉髓石","","否",329
19490,"血石","","否",291
11108,"黑玉","","否",255
471752,"血玉石","","否",126
39994,"天蓝石","","否",70
61981,"秋色石","","否",96
79995,"曙光猫眼石","","否",72
69995,"帝黄晶","","否",71
44338,"森林翡翠","","否",63
5436,"亚麻布","","否",891
5897,"毛料","","否",987
6472,"丝绸","","否",981
5714,"魔纹布","","否",954
864,"符文布","","否",978
1428,"灵纹布","","否",951
3495,"霜纹布","","否",882
1482,"轻皮","","否",939
4995,"中皮","","否",961
583,"中毛皮","","否",234
3997,"硬甲皮","","否",976
3392,"重皮","","否",787
19989,"重毛皮","","否",218
4988,"厚皮","","否",880
9811,"结缔皮","","否",731
7171,"北地皮","","否",824
40075,"黑钻石","","否",140
40800,"速度药水","","否",490
12358,"蛇信草","","否",981
13989,"亚口鱼油","","否",557
98474,"无尽怒气合剂","","否",862
3995,"奇异之尘","","否",1000
5130,"次级魔法精华","","否",195
11130,"强效魔法精华","","否",195
177,"小块微光碎片","","否",265
2442,"灵魂之尘","","否",1000
3497,"强效星界精华","","否",194
31,"大块微光碎片","","否",103
2249,"次级秘法精华","","否",441
3440,"幻象之尘","","否",788
5176,"强效秘法精华","","否",265
81,"大块闪光碎片","","否",205
11954,"次级虚空精华","","否",256
182,"小块强光碎片","","否",487
2374,"梦境之尘","","否",908
31423,"强效虚空精华","","否",156
20925,"大块强光碎片","","否",147
22014,"次级不灭精华","","否",330
1443,"次级星界精华","","否",413
8999,"幻影之尘","","否",550
53480,"强效不灭精华","","否",123
25457,"大块魔光碎片","","否",113
10000,"小块魔光碎片","","否",212
9009,"奥法之尘","","否",812
7079,"次级位面精华","","否",262
11451,"小块棱光碎片","","否",190
23686,"强效位面精华","","否",253
49512,"大块棱光碎片","","否",179
11484,"无限之尘","","否",952
41986,"次级宇宙精华","","否",391
87726,"小块梦境碎片","","否",50
139997,"梦境碎片","","否",470
282198,"深渊水晶","","否",80
